Crop_Type,Region,Soil_Type,Soil_pH,Nitrogen_Level,Phosphorus_Level,Potassium_Level,Organic_Carbon,Moisture_Content,Rainfall_mm,Temperature_C,Plant_Age_Weeks,Fertilizer_Type,Recommended_Quantity_kg_per_acre,Application_Timing,District_Name,Soil_color,Nitrogen,Phosphorus,Potassium,pH,Rainfall,Temperature,Crop,Fertilizer,Link,N,P,K,EC,OC,S,Zn,Fe,Cu,Mn,B,Output,Temparature,Humidity ,Moisture,Soil Type,Crop Type,Phosphorous,Fertilizer Name,PH,Carbon,Soil,Remark
Tomato,Uttar Pradesh,Clay,7.67,101.74,36.63,128.88,0.43,14.16,821.05,18.39,18.0,Compost,45.22,Before sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wheat,Punjab,Clay,5.77,136.88,69.74,76.66,0.52,7.34,643.94,22.28,2.0,Potash,37.49,Flowering stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton,Tamil Nadu,Silty,7.93,194.69,96.88,141.7,1.09,5.99,278.69,18.62,8.0,DAP,158.1,After sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rice,Karnataka,Silty,8.12,51.81,14.54,74.87,0.35,13.57,545.35,35.28,13.0,Potash,109.97,Before sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potato,Maharashtra,Sandy,5.61,167.89,90.13,241.65,0.55,35.85,768.08,20.57,15.0,Complex,85.01,Flowering stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomato,Bihar,Sandy,8.43,172.66,61.92,291.57,1.9,19.56,793.37,32.94,9.0,DAP,98.21,Before sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soybean,Karnataka,Clay,5.06,177.54,60.75,292.52,1.96,30.21,549.66,38.58,3.0,Complex,187.57,Mid-growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rice,Andhra Pradesh,Loamy,5.31,98.4,55.03,266.27,0.88,37.14,374.69,28.19,3.0,Compost,184.38,Flowering stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potato,Tamil Nadu,Silty,5.24,192.81,16.25,200.2,1.86,19.28,976.37,28.5,2.0,Urea,150.24,Before sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maize,Karnataka,Sandy,8.08,68.28,18.09,225.22,1.18,11.69,697.03,26.53,1.0,MOP,179.82,Flowering stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Groundnut,Maharashtra,Clay,7.12,89.85,64.08,121.3,0.69,23.1,467.41,23.15,14.0,DAP,80.94,Flowering stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugarcane,Uttar Pradesh,Sandy,5.11,225.49,40.69,207.69,1.46,36.78,352.42,26.89,17.0,MOP,91.69,After sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soybean,Tamil Nadu,Silty,6.26,197.74,92.55,163.91,1.39,33.15,757.99,30.07,13.0,Urea,132.4,After sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maize,Karnataka,Silty,6.96,52.75,46.59,170.5,1.98,7.3,317.97,39.65,19.0,DAP,134.13,Before sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton,Bihar,Peaty,4.83,99.68,22.9,239.44,0.68,29.24,254.54,38.44,15.0,MOP,109.3,Flowering stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maize,Bihar,Loamy,8.03,92.88,74.32,120.48,1.41,25.02,576.85,36.55,14.0,MOP,95.12,Flowering stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Groundnut,Punjab,Peaty,7.71,104.16,36.4,129.51,0.29,36.76,360.99,37.23,2.0,DAP,197.58,Mid-growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton,Karnataka,Clay,6.52,99.51,57.29,281.16,0.4,9.29,666.01,26.7,7.0,MOP,168.7,Flowering stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soybean,Gujarat,Sandy,8.37,62.51,72.8,64.06,0.21,23.69,206.14,31.44,17.0,MOP,101.12,After sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Groundnut,Karnataka,Clay,6.17,141.79,91.02,171.41,2.0,35.78,689.45,37.38,18.0,DAP,152.28,Flowering stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wheat,Uttar Pradesh,Silty,8.44,196.55,81.3,278.2,1.64,19.35,354.97,24.82,6.0,MOP,72.17,After sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugarcane,Tamil Nadu,Peaty,7.17,171.35,70.87,202.59,1.62,21.87,100.22,39.04,8.0,MOP,42.53,Mid-growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soybean,Tamil Nadu,Peaty,7.04,184.57,71.17,186.6,1.12,7.47,214.24,25.39,2.0,Potash,86.68,Before sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wheat,Uttar Pradesh,Peaty,5.16,66.23,95.13,112.44,0.74,14.74,940.25,30.03,1.0,Compost,95.52,After sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potato,Karnataka,Clay,8.03,240.3,36.62,135.82,0.47,16.36,880.62,32.75,16.0,Potash,27.89,Before sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soybean,Uttar Pradesh,Silty,6.21,217.7,10.1,263.01,0.71,38.08,310.25,38.76,7.0,Urea,167.59,Before sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potato,Maharashtra,Sandy,5.15,211.02,34.48,189.8,0.88,14.89,800.53,21.12,11.0,Potash,87.86,Before sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton,Andhra Pradesh,Sandy,4.55,214.6,29.61,178.69,1.56,21.13,647.71,33.65,15.0,Potash,126.57,Before sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wheat,Uttar Pradesh,Clay,6.74,236.54,69.57,74.89,1.17,28.5,973.81,28.02,13.0,Urea,37.94,After sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugarcane,Bihar,Peaty,6.61,158.85,67.03,54.01,0.34,10.68,436.25,21.71,2.0,MOP,55.62,Mid-growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Groundnut,Uttar Pradesh,Loamy,7.38,90.06,63.41,290.92,0.23,22.03,713.31,34.42,14.0,MOP,180.7,Flowering stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Millet,Tamil Nadu,Clay,8.06,173.36,11.46,144.25,0.38,30.85,157.18,28.81,6.0,Potash,131.52,After sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maize,Bihar,Clay,4.82,198.58,75.59,200.8,0.94,35.34,456.62,31.52,9.0,Urea,191.3,Mid-growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rice,Tamil Nadu,Silty,7.43,197.58,39.12,69.93,1.88,26.92,967.44,23.07,7.0,MOP,199.78,Flowering stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugarcane,Punjab,Sandy,5.25,154.29,69.86,220.78,1.35,28.42,585.08,27.03,18.0,Complex,90.08,Before sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wheat,Gujarat,Clay,7.93,63.69,60.09,283.14,1.64,9.42,359.09,30.43,9.0,DAP,77.29,Flowering stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Millet,Tamil Nadu,Clay,7.78,124.22,40.85,193.92,1.04,38.1,208.24,25.12,4.0,DAP,175.21,Flowering stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugarcane,Bihar,Peaty,6.66,234.15,22.11,81.53,0.85,9.64,733.18,19.96,9.0,Compost,199.76,Mid-growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wheat,Punjab,Peaty,7.34,166.89,18.5,195.43,0.4,32.11,680.37,39.04,4.0,DAP,135.19,Flowering stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomato,Tamil Nadu,Loamy,5.76,157.67,84.84,241.59,1.78,14.27,436.54,27.79,12.0,Potash,164.15,Before sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomato,Maharashtra,Silty,6.38,103.77,92.66,151.6,1.61,37.68,955.85,33.35,4.0,DAP,161.81,After sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potato,Uttar Pradesh,Loamy,7.79,123.69,68.48,269.96,0.5,30.2,119.98,25.28,14.0,DAP,87.18,After sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugarcane,Gujarat,Peaty,6.34,229.07,19.31,212.17,1.12,31.38,373.35,23.88,7.0,Complex,125.5,Mid-growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomato,Tamil Nadu,Sandy,5.93,183.29,46.18,274.81,1.08,12.67,928.96,25.18,13.0,MOP,170.78,Before sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wheat,Punjab,Peaty,6.48,207.48,75.6,205.88,1.33,20.51,388.84,25.23,8.0,Complex,145.42,Before sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potato,Maharashtra,Silty,7.81,140.87,80.18,82.82,1.9,26.62,327.03,28.6,5.0,Potash,28.7,Flowering stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wheat,Karnataka,Peaty,5.84,176.05,20.64,127.42,1.24,31.95,580.8,28.59,12.0,DAP,83.92,Mid-growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potato,Punjab,Silty,5.2,99.68,10.0,100.45,1.17,8.64,841.42,27.43,13.0,MOP,50.28,Before sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugarcane,Uttar Pradesh,Silty,7.35,191.09,74.09,277.21,0.29,38.68,192.83,18.37,14.0,Compost,65.77,Before sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Millet,Punjab,Silty,7.8,135.52,42.09,240.1,0.31,36.16,948.72,27.4,18.0,Compost,183.46,Before sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Groundnut,Maharashtra,Silty,4.9,138.51,32.9,219.1,0.54,14.46,815.57,19.23,4.0,DAP,31.46,After sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soybean,Punjab,Silty,5.46,179.86,11.16,125.24,0.26,33.8,263.13,18.15,18.0,DAP,63.47,After sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Millet,Maharashtra,Sandy,5.07,237.26,58.63,96.01,1.54,23.14,740.81,38.32,7.0,Compost,79.17,After sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton,Tamil Nadu,Loamy,5.89,62.8,86.6,239.11,1.5,21.16,446.46,30.12,15.0,Compost,132.95,Flowering stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wheat,Andhra Pradesh,Clay,6.3,214.95,96.19,168.54,0.44,16.01,462.07,31.49,6.0,Potash,118.47,Flowering stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton,Maharashtra,Loamy,7.5,108.48,60.92,106.45,1.7,25.33,804.96,25.04,16.0,DAP,63.2,Flowering stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Millet,Maharashtra,Silty,7.1,138.78,56.3,204.16,0.48,30.55,966.51,37.72,8.0,Compost,53.74,Before sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potato,Gujarat,Sandy,6.98,54.38,17.66,60.08,0.74,19.38,213.99,30.95,16.0,Urea,66.44,After sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soybean,Maharashtra,Peaty,5.91,110.21,59.4,131.54,0.65,27.02,478.57,34.23,16.0,Compost,112.94,Before sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soybean,Maharashtra,Sandy,7.87,150.53,44.2,167.14,0.87,29.48,532.85,24.21,3.0,MOP,72.46,Before sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rice,Karnataka,Silty,6.39,61.24,64.64,86.99,0.66,29.89,438.68,39.0,17.0,MOP,190.83,Mid-growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soybean,Andhra Pradesh,Sandy,8.42,148.22,44.99,296.16,1.08,6.82,426.87,35.51,9.0,Urea,106.18,Before sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Groundnut,Tamil Nadu,Sandy,7.04,235.42,31.63,102.27,0.93,35.09,147.04,36.35,3.0,Potash,35.29,Flowering stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soybean,Uttar Pradesh,Silty,5.01,71.08,18.55,82.59,1.98,21.04,716.98,19.3,7.0,DAP,152.62,After sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Millet,Gujarat,Sandy,7.2,202.89,38.34,100.88,0.3,14.18,492.59,21.77,18.0,DAP,82.55,After sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rice,Karnataka,Clay,5.8,131.93,18.7,242.27,0.46,13.46,275.31,22.14,12.0,Compost,139.36,Before sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Millet,Bihar,Clay,7.25,181.03,25.92,156.38,0.3,21.91,834.43,21.77,19.0,MOP,73.93,Flowering stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Millet,Andhra Pradesh,Sandy,4.78,102.05,98.86,191.35,1.33,36.04,822.3,36.39,16.0,Potash,124.88,Flowering stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maize,Tamil Nadu,Peaty,5.2,81.9,49.97,55.25,0.3,18.24,537.75,15.8,17.0,Potash,160.13,Flowering stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rice,Tamil Nadu,Silty,7.92,82.09,57.87,58.61,1.71,31.24,368.61,16.9,15.0,Potash,187.4,After sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Millet,Bihar,Clay,5.41,64.1,88.63,161.46,1.12,8.39,674.28,21.85,1.0,Compost,70.7,Flowering stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maize,Uttar Pradesh,Peaty,7.85,87.13,99.6,254.16,1.15,21.66,359.34,20.0,2.0,DAP,83.6,Flowering stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maize,Maharashtra,Sandy,5.62,182.84,62.44,271.31,1.21,39.71,312.41,20.8,8.0,Potash,106.25,Before sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rice,Karnataka,Peaty,7.07,226.34,83.12,71.68,0.51,31.97,757.46,34.95,2.0,Compost,187.26,Mid-growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton,Punjab,Loamy,7.28,212.83,39.42,184.59,0.56,12.37,136.29,29.08,19.0,Compost,182.74,Flowering stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potato,Gujarat,Clay,6.55,187.03,37.52,278.31,0.77,22.55,185.29,15.14,9.0,Urea,40.73,Before sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Groundnut,Punjab,Sandy,5.72,72.09,46.24,146.99,1.27,13.18,106.11,25.73,9.0,Complex,48.09,Before sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potato,Bihar,Silty,5.35,107.84,70.53,257.39,0.58,19.33,237.65,25.2,13.0,Potash,111.71,Flowering stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soybean,Tamil Nadu,Sandy,4.63,111.96,71.4,83.42,0.41,32.3,162.09,17.85,6.0,Complex,43.66,Mid-growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Groundnut,Uttar Pradesh,Silty,5.72,99.99,38.37,283.85,1.95,31.99,996.22,31.9,15.0,DAP,85.48,After sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soybean,Tamil Nadu,Sandy,7.11,153.0,21.99,237.86,0.24,12.98,359.93,32.55,19.0,Compost,50.97,Mid-growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Millet,Gujarat,Peaty,8.25,157.11,66.92,285.33,1.64,37.28,234.34,33.02,15.0,Potash,136.31,Flowering stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wheat,Tamil Nadu,Peaty,7.98,121.38,21.55,219.15,1.62,25.74,316.9,33.21,18.0,MOP,191.16,Mid-growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rice,Tamil Nadu,Peaty,7.56,120.76,62.06,140.85,0.73,18.3,942.51,15.0,7.0,DAP,199.43,Before sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Groundnut,Gujarat,Loamy,7.65,215.71,72.41,284.55,0.44,22.57,568.14,38.85,11.0,Urea,90.67,Before sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Groundnut,Karnataka,Silty,7.16,207.86,73.06,118.89,0.46,26.18,428.34,35.36,8.0,Urea,129.83,Mid-growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Millet,Karnataka,Peaty,5.54,111.56,77.81,133.04,1.46,24.6,886.05,37.6,6.0,Complex,174.85,After sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton,Gujarat,Loamy,8.13,232.76,88.56,225.2,1.36,22.02,455.49,15.39,8.0,Compost,45.56,Mid-growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maize,Uttar Pradesh,Silty,7.18,240.56,55.0,241.33,1.61,22.67,401.51,38.35,2.0,Complex,145.67,Flowering stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Millet,Bihar,Sandy,6.74,115.35,75.72,282.35,1.89,11.17,286.55,35.24,19.0,MOP,96.55,After sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomato,Andhra Pradesh,Loamy,4.94,120.88,65.73,101.2,1.45,33.45,440.02,35.93,16.0,MOP,61.08,Mid-growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maize,Tamil Nadu,Clay,6.29,151.13,26.8,249.5,0.48,23.96,385.02,17.33,7.0,Urea,95.48,Mid-growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rice,Uttar Pradesh,Loamy,6.34,238.22,12.31,234.64,0.64,9.59,709.57,33.47,10.0,Potash,38.29,After sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maize,Tamil Nadu,Loamy,7.96,225.26,35.61,65.95,1.72,31.82,360.62,39.0,12.0,Urea,146.7,Mid-growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton,Andhra Pradesh,Silty,6.69,70.51,49.87,146.81,0.58,37.64,619.48,31.96,17.0,Urea,69.23,Flowering stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maize,Bihar,Sandy,6.02,128.55,65.54,120.69,0.33,38.16,159.3,29.26,7.0,MOP,79.5,Before sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rice,Karnataka,Clay,8.41,160.67,86.5,126.12,1.47,17.92,272.16,38.64,8.0,Complex,46.19,Flowering stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton,Uttar Pradesh,Peaty,4.94,150.63,27.66,295.74,0.92,9.74,466.66,26.07,7.0,MOP,176.32,Mid-growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potato,Maharashtra,Peaty,6.19,88.77,21.3,210.69,1.86,23.14,943.25,29.98,4.0,Compost,111.35,Before sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Groundnut,Maharashtra,Loamy,4.67,221.76,96.71,229.42,1.37,8.94,439.53,26.91,3.0,MOP,125.13,After sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Groundnut,Andhra Pradesh,Silty,7.46,185.39,19.72,294.15,0.36,37.69,697.67,38.32,19.0,MOP,124.65,Flowering stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soybean,Maharashtra,Silty,8.17,217.58,53.06,144.3,1.91,11.43,329.58,16.9,15.0,Urea,96.84,After sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potato,Karnataka,Peaty,5.62,221.75,62.7,250.46,0.67,13.85,214.33,27.53,4.0,Potash,58.69,Before sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potato,Andhra Pradesh,Clay,7.93,199.67,58.72,158.63,0.81,19.23,152.68,32.17,9.0,Urea,155.4,Mid-growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maize,Karnataka,Sandy,5.67,137.84,17.74,267.38,0.92,18.41,374.87,34.8,13.0,DAP,47.23,Before sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Groundnut,Bihar,Clay,8.14,172.11,15.13,95.16,0.29,32.81,241.89,29.58,18.0,MOP,43.18,Before sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rice,Tamil Nadu,Sandy,7.52,82.07,19.49,286.92,1.09,20.97,256.61,37.72,16.0,MOP,149.28,After sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugarcane,Bihar,Peaty,7.72,184.73,62.7,104.69,0.42,10.98,784.68,38.55,1.0,DAP,61.55,Flowering stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugarcane,Bihar,Sandy,4.57,85.85,58.99,131.56,0.92,14.35,114.25,16.61,4.0,MOP,78.69,Before sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton,Karnataka,Silty,8.35,188.79,31.04,239.05,0.83,22.82,602.03,25.06,18.0,MOP,108.16,Mid-growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Groundnut,Andhra Pradesh,Loamy,7.41,95.92,67.4,148.44,1.59,10.16,441.52,15.59,8.0,Compost,103.64,Before sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Groundnut,Andhra Pradesh,Loamy,5.72,73.51,83.81,202.05,1.65,26.41,555.89,23.24,16.0,MOP,149.0,After sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugarcane,Maharashtra,Peaty,7.82,83.06,13.74,161.14,0.48,24.8,606.55,28.42,11.0,DAP,134.1,Flowering stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Groundnut,Punjab,Silty,5.63,50.4,54.83,235.59,0.86,30.01,382.03,37.77,19.0,Urea,137.77,Mid-growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
