Crop_Type,Region,Soil_Type,Soil_pH,Nitrogen_Level,Phosphorus_Level,Potassium_Level,Organic_Carbon,Moisture_Content,Rainfall_mm,Temperature_C,Plant_Age_Weeks,Fertilizer_Type,Recommended_Quantity_kg_per_acre,Application_Timing
Rice,Madhya Pradesh,Loamy,7.6,99.8,33.5,89.0,1.93,33.2,582.9,30.1,7,Urea,138.16,Before sowing
Wheat,Tamil Nadu,Silty,7.0,108.7,23.4,127.0,1.28,38.2,816.1,32.8,7,DAP,131.04,Mid growth
Groundnut,Kerala,Sandy,6.9,124.9,46.3,108.2,0.7,15.9,1004.1,29.3,14,Mixed,103.08,Before sowing
Soybean,Andhra Pradesh,Peaty,7.3,97.0,24.1,81.0,1.03,32.7,713.8,26.6,12,Urea,140.4,Pre-harvest
Potato,Gujarat,Clay,7.8,107.9,35.4,134.9,1.09,33.7,1089.9,34.2,11,Mixed,116.68,After sowing
Maize,Telangana,Silty,5.9,154.1,34.8,98.1,1.19,44.4,794.1,24.9,4,Potash,79.72,Mid growth
Groundnut,Tamil Nadu,Sandy,7.1,99.2,22.3,89.0,0.69,19.6,511.1,29.6,7,Urea,138.64,Pre-harvest
Maize,Gujarat,Clay,6.0,107.7,46.9,113.2,1.5,20.2,553.8,20.6,15,Mixed,116.84,Mid growth
Groundnut,Telangana,Silty,5.9,102.3,25.3,86.2,0.68,28.8,565.1,25.5,10,DAP,136.16,Mid growth
Soybean,Andhra Pradesh,Sandy,6.8,135.2,21.2,136.0,1.44,17.5,1098.9,33.8,8,DAP,109.84,Mid growth
Cotton,Karnataka,Peaty,5.7,102.2,44.2,132.4,0.78,21.3,696.4,27.3,7,Mixed,121.24,Pre-harvest
Maize,Karnataka,Peaty,7.0,109.5,33.9,132.3,0.56,22.6,970.7,33.4,6,Mixed,115.4,Pre-harvest
Rice,Madhya Pradesh,Peaty,6.8,122.6,23.2,111.3,1.3,22.3,615.4,25.7,7,DAP,119.92,Mid growth
Cotton,Karnataka,Clay,5.6,105.8,26.3,102.9,0.68,41.7,874.9,30.2,14,DAP,133.36,Pre-harvest
Maize,Tamil Nadu,Silty,7.5,119.9,22.6,117.6,1.38,37.4,745.3,21.9,13,DAP,122.08,Pre-harvest
Tomato,Maharashtra,Loamy,6.2,109.0,39.4,120.0,1.03,44.6,884.6,23.6,14,Mixed,115.8,Before sowing
Maize,Gujarat,Silty,5.8,92.2,27.4,91.2,0.78,23.6,538.7,33.5,14,Urea,144.24,Mid growth
Cotton,Karnataka,Loamy,5.7,122.0,32.3,148.8,0.67,26.9,1175.6,33.0,16,Mixed,105.4,Pre-harvest
Sugarcane,Tamil Nadu,Peaty,7.5,100.6,25.1,126.8,1.89,31.7,857.3,24.2,10,DAP,137.52,After sowing
Rice,Tamil Nadu,Sandy,7.4,95.0,29.7,109.8,1.26,22.3,491.9,29.2,12,Urea,142.0,Mid growth
Sugarcane,Karnataka,Loamy,6.2,126.5,24.6,113.7,1.3,16.6,669.3,22.0,8,DAP,116.8,Mid growth
Tomato,Karnataka,Peaty,5.7,159.2,29.7,136.7,0.88,35.4,1008.2,28.9,13,DAP,90.64,After sowing
Millet,Telangana,Clay,6.7,112.9,30.5,145.1,1.75,44.0,499.4,31.0,15,Compost,112.68,Mid growth
Cotton,Karnataka,Loamy,7.8,94.5,22.0,131.9,1.36,40.3,511.8,31.9,5,Urea,142.4,After sowing
Rice,Telangana,Clay,6.0,93.1,24.9,137.0,1.5,30.7,687.1,33.2,6,Urea,143.52,Pre-harvest
Rice,Telangana,Clay,6.5,145.3,33.2,106.4,1.19,24.0,998.1,27.5,7,Mixed,86.76,Before sowing
Rice,Andhra Pradesh,Silty,6.1,152.0,31.5,118.0,1.86,33.7,493.5,34.1,7,Compost,81.4,Before sowing
Groundnut,Madhya Pradesh,Silty,7.1,106.8,24.2,135.6,1.43,31.0,1115.1,31.8,4,DAP,132.56,Pre-harvest
Sugarcane,Andhra Pradesh,Sandy,5.9,104.9,27.5,132.1,0.55,32.1,1010.0,33.2,14,DAP,134.08,After sowing
Wheat,Kerala,Silty,6.4,145.7,23.3,139.3,0.69,26.9,1037.8,22.2,16,DAP,101.44,Before sowing
Cotton,Maharashtra,Loamy,6.1,137.8,41.6,124.9,1.54,31.3,601.4,25.2,15,Compost,92.76,Mid growth
Rice,Madhya Pradesh,Peaty,6.0,152.7,37.5,108.1,1.19,43.4,522.7,28.8,15,Mixed,80.84,After sowing
Millet,Madhya Pradesh,Sandy,6.8,128.9,20.5,141.0,1.9,32.0,957.3,33.8,4,DAP,114.88,After sowing
Groundnut,Maharashtra,Peaty,7.3,92.2,37.3,122.5,1.14,37.1,1147.5,33.9,16,Urea,144.24,After sowing
Sugarcane,Madhya Pradesh,Sandy,6.6,89.1,49.5,138.7,0.69,42.6,1095.9,27.8,16,Urea,146.72,Mid growth
Rice,Andhra Pradesh,Clay,7.0,111.9,21.6,103.5,1.7,15.1,666.8,26.0,9,DAP,128.48,After sowing
Wheat,Andhra Pradesh,Clay,6.8,153.6,30.4,104.3,1.61,28.6,579.7,26.8,9,Compost,80.12,Mid growth
Tomato,Kerala,Silty,5.9,94.1,35.0,109.3,1.87,25.9,864.5,29.5,12,Urea,142.72,Before sowing
Rice,Andhra Pradesh,Peaty,5.5,133.1,25.3,147.3,0.72,27.4,468.3,35.0,15,DAP,111.52,Pre-harvest
Sugarcane,Kerala,Peaty,6.8,127.6,22.0,132.5,0.81,41.9,564.1,22.9,7,DAP,115.92,Mid growth
Tomato,Andhra Pradesh,Loamy,5.6,117.8,36.9,84.6,1.66,28.6,819.5,26.6,5,Potash,108.76,Pre-harvest
Millet,Maharashtra,Clay,6.5,124.8,24.7,92.7,1.79,43.4,698.6,24.1,5,DAP,118.16,After sowing
Maize,Kerala,Loamy,7.1,112.7,20.8,90.9,1.57,34.8,421.7,23.3,10,DAP,127.84,Mid growth
Groundnut,Karnataka,Loamy,6.1,133.8,20.6,87.3,1.7,20.4,922.2,23.6,15,DAP,110.96,Pre-harvest
Groundnut,Madhya Pradesh,Peaty,5.7,99.5,41.7,139.9,1.75,26.9,934.5,23.1,4,Urea,138.4,Before sowing
Millet,Kerala,Silty,6.2,151.7,20.4,86.0,0.81,15.8,545.1,28.7,8,DAP,96.64,Mid growth
Cotton,Madhya Pradesh,Clay,6.6,151.4,44.5,103.9,0.89,26.4,872.2,24.0,16,Mixed,81.88,Pre-harvest
Groundnut,Gujarat,Loamy,7.1,112.8,36.6,110.5,0.94,43.5,1010.9,22.1,5,Mixed,112.76,Before sowing
Rice,Madhya Pradesh,Sandy,7.7,119.0,46.8,136.0,1.14,15.7,614.9,28.1,4,Mixed,107.8,Before sowing
Sugarcane,Kerala,Loamy,7.1,100.6,24.2,138.4,1.98,30.8,537.3,24.1,11,DAP,137.52,Mid growth
Groundnut,Telangana,Sandy,5.5,153.1,23.5,120.4,0.91,31.6,921.1,32.4,14,DAP,95.52,After sowing
Groundnut,Madhya Pradesh,Loamy,6.0,80.9,24.1,143.0,1.81,32.9,880.4,30.0,10,Urea,153.28,Mid growth
Rice,Kerala,Loamy,5.9,153.2,32.6,106.8,1.28,16.4,533.0,31.1,12,Mixed,80.44,Before sowing
Cotton,Gujarat,Peaty,5.7,128.3,27.4,107.3,0.93,25.7,975.2,24.5,4,DAP,115.36,After sowing
Groundnut,Gujarat,Sandy,6.9,118.1,39.9,145.6,1.6,21.4,424.9,23.9,6,Compost,108.52,Before sowing
Maize,Andhra Pradesh,Clay,7.0,84.1,34.9,121.8,1.0,38.1,485.3,21.1,4,Urea,150.72,Mid growth
Groundnut,Telangana,Peaty,7.3,119.6,40.7,110.4,0.87,39.6,1039.5,30.4,14,Mixed,107.32,Mid growth
Potato,Maharashtra,Peaty,6.2,127.2,30.8,86.4,1.88,19.1,1160.2,26.7,5,Potash,101.24,Mid growth
Cotton,Gujarat,Sandy,6.0,123.4,46.2,131.3,1.71,34.8,953.8,32.7,4,Compost,104.28,Before sowing
Sugarcane,Tamil Nadu,Sandy,6.1,119.2,26.6,149.1,1.92,16.2,964.5,33.9,4,DAP,122.64,Before sowing
Cotton,Karnataka,Clay,6.0,125.4,47.5,82.4,1.55,23.9,1139.5,34.6,14,Potash,102.68,Mid growth
Soybean,Kerala,Peaty,7.9,117.9,45.9,139.1,0.98,39.9,429.6,28.9,7,Mixed,108.68,After sowing
Cotton,Madhya Pradesh,Peaty,6.1,89.6,22.3,128.7,1.01,36.7,452.3,24.7,5,Urea,146.32,After sowing
Groundnut,Telangana,Sandy,6.8,143.3,29.6,123.8,1.83,33.5,586.4,20.4,16,DAP,103.36,Before sowing
Wheat,Gujarat,Peaty,7.7,81.7,46.2,117.0,1.91,39.0,1198.3,25.3,15,Urea,152.64,Mid growth
Cotton,Telangana,Sandy,7.4,112.2,34.4,123.9,1.81,44.5,1014.6,26.3,15,Compost,113.24,Mid growth
Wheat,Karnataka,Clay,6.6,139.0,27.2,87.7,1.03,23.6,637.0,23.5,16,DAP,106.8,Mid growth
Wheat,Gujarat,Clay,5.6,81.4,49.6,109.9,1.08,35.4,574.6,34.2,11,Urea,152.88,Pre-harvest
Groundnut,Karnataka,Silty,7.5,87.2,32.5,141.5,1.92,29.0,890.7,22.5,16,Urea,148.24,Pre-harvest
Tomato,Andhra Pradesh,Loamy,8.0,98.5,48.3,125.5,1.41,30.4,584.5,22.6,15,Urea,139.2,Mid growth
Rice,Madhya Pradesh,Silty,6.1,94.9,43.4,104.5,0.59,44.1,1107.0,33.9,10,Urea,142.08,After sowing
Soybean,Kerala,Peaty,8.0,93.9,31.9,133.1,1.54,19.6,1052.7,23.4,4,Urea,142.88,Mid growth
Tomato,Telangana,Sandy,6.1,123.0,37.8,120.6,0.64,41.3,612.5,21.9,4,Mixed,104.6,Pre-harvest
Rice,Karnataka,Peaty,7.7,156.5,45.9,136.7,1.48,31.5,469.6,26.1,13,Mixed,77.8,Pre-harvest
Sugarcane,Tamil Nadu,Loamy,6.4,100.8,41.7,114.7,0.62,21.6,946.6,21.1,6,Mixed,122.36,Pre-harvest
Maize,Maharashtra,Silty,7.6,119.6,34.4,121.5,1.74,25.4,942.4,28.5,16,Compost,107.32,Before sowing
Soybean,Madhya Pradesh,Clay,6.2,150.3,43.9,126.1,1.78,41.0,966.7,32.6,15,Compost,82.76,Mid growth
Cotton,Kerala,Sandy,7.2,134.4,38.6,132.7,0.74,41.4,1097.5,20.4,12,Mixed,95.48,Mid growth
Soybean,Telangana,Loamy,7.6,90.3,30.1,132.0,0.74,39.5,1065.7,27.6,16,Urea,145.76,After sowing
Cotton,Gujarat,Peaty,5.5,103.0,38.5,148.7,1.45,22.8,907.2,28.1,11,Mixed,120.6,Before sowing
Millet,Kerala,Sandy,7.4,88.6,42.8,117.9,1.94,25.3,906.1,34.0,16,Urea,147.12,Pre-harvest
Soybean,Andhra Pradesh,Silty,5.8,155.0,40.6,84.7,0.95,36.2,453.9,28.7,14,Potash,79.0,Mid growth
Potato,Kerala,Clay,6.4,129.7,21.4,141.0,1.96,44.1,999.7,22.0,7,DAP,114.24,Before sowing
Tomato,Tamil Nadu,Peaty,7.4,82.0,20.7,102.7,1.23,38.1,946.6,26.7,15,Urea,152.4,Mid growth
Sugarcane,Tamil Nadu,Clay,6.2,159.8,32.8,111.6,0.75,38.8,954.9,23.3,16,Mixed,75.16,Before sowing
Groundnut,Telangana,Loamy,5.7,134.4,39.6,99.1,1.93,19.5,745.9,34.2,13,Potash,95.48,Mid growth
Maize,Telangana,Peaty,6.5,131.1,31.9,99.2,1.98,27.3,1115.3,23.4,10,Potash,98.12,Mid growth
Tomato,Telangana,Loamy,6.0,82.5,39.6,105.8,1.8,29.2,1174.6,22.8,14,Urea,152.0,Mid growth
Millet,Karnataka,Silty,7.7,142.1,43.1,139.1,1.64,33.8,505.0,20.5,15,Compost,89.32,Mid growth
Groundnut,Kerala,Silty,7.8,129.3,43.9,113.7,0.68,18.8,948.5,26.5,12,Mixed,99.56,Mid growth
Tomato,Telangana,Loamy,6.0,119.3,21.9,120.7,0.9,38.9,648.3,26.8,5,DAP,122.56,After sowing
Maize,Maharashtra,Sandy,5.5,85.8,31.8,113.6,1.4,23.7,956.0,32.9,16,Urea,149.36,Pre-harvest
Millet,Karnataka,Loamy,7.4,83.2,34.4,87.3,0.86,44.6,514.0,27.5,10,Urea,151.44,After sowing
Potato,Gujarat,Loamy,7.0,136.2,36.8,80.7,0.99,30.5,470.3,25.3,12,Potash,94.04,Before sowing
Soybean,Karnataka,Silty,5.6,86.3,31.9,89.3,1.35,35.7,1040.5,23.0,16,Urea,148.96,Mid growth
Cotton,Maharashtra,Silty,5.9,88.4,39.1,129.5,0.55,43.1,441.6,28.1,14,Urea,147.28,Mid growth
Cotton,Karnataka,Peaty,7.3,149.7,41.4,136.1,1.01,39.4,464.1,33.4,6,Mixed,83.24,Pre-harvest
Cotton,Karnataka,Loamy,6.9,145.4,33.6,125.1,1.29,36.9,465.3,20.9,5,Mixed,86.68,Mid growth
Cotton,Kerala,Peaty,6.1,92.8,46.2,95.3,1.96,25.1,545.7,31.8,4,Urea,143.76,After sowing
Cotton,Karnataka,Loamy,7.1,119.9,36.7,130.3,0.84,44.9,1179.8,29.8,7,Mixed,107.08,Pre-harvest
Wheat,Maharashtra,Silty,6.0,134.4,22.2,82.1,0.89,28.9,1094.6,30.9,6,DAP,110.48,After sowing
Potato,Tamil Nadu,Silty,7.4,114.0,30.4,106.0,1.98,16.2,1093.6,28.7,15,Compost,111.8,Pre-harvest
Cotton,Tamil Nadu,Peaty,6.6,138.0,34.6,141.1,1.85,27.7,621.5,28.9,10,Compost,92.6,Pre-harvest
Cotton,Maharashtra,Loamy,7.8,96.9,38.7,124.2,1.6,18.9,972.7,33.6,13,Urea,140.48,Before sowing
Sugarcane,Maharashtra,Silty,5.9,99.0,49.1,92.7,1.78,29.8,597.8,33.1,6,Urea,138.8,Pre-harvest
Millet,Madhya Pradesh,Sandy,6.6,121.2,30.8,121.5,0.75,26.7,1175.5,23.9,8,Mixed,106.04,Mid growth
Soybean,Karnataka,Silty,7.1,106.0,43.2,89.2,1.95,28.6,588.8,21.1,15,Potash,118.2,Before sowing
Tomato,Maharashtra,Sandy,5.9,121.6,30.1,138.0,1.15,22.5,893.7,30.6,9,Mixed,105.72,Pre-harvest
Rice,Gujarat,Peaty,5.9,93.4,21.1,131.5,1.5,29.2,1075.3,32.1,11,Urea,143.28,Mid growth
Wheat,Telangana,Peaty,7.0,149.5,26.2,87.8,0.9,16.7,824.9,34.0,5,DAP,98.4,After sowing
Rice,Tamil Nadu,Sandy,5.6,89.8,33.6,145.4,0.97,30.2,433.3,22.2,7,Urea,146.16,Pre-harvest
Soybean,Telangana,Loamy,8.0,157.2,20.1,146.6,1.46,41.0,763.8,27.7,16,DAP,92.24,After sowing
Potato,Madhya Pradesh,Loamy,6.7,133.3,24.2,82.1,0.96,36.1,561.5,30.1,16,DAP,111.36,Mid growth
Groundnut,Telangana,Sandy,7.9,87.5,40.2,111.1,1.8,20.3,954.1,32.6,10,Urea,148.0,Before sowing
Rice,Kerala,Peaty,7.9,134.7,34.9,123.2,1.8,32.1,424.3,34.0,14,Compost,95.24,After sowing
Groundnut,Madhya Pradesh,Sandy,7.2,134.1,26.5,126.1,1.09,34.5,485.3,29.9,12,DAP,110.72,Pre-harvest
Groundnut,Maharashtra,Clay,8.0,83.9,49.3,108.5,1.81,38.5,853.6,31.1,16,Urea,150.88,Before sowing
Potato,Andhra Pradesh,Sandy,7.7,112.3,29.8,126.7,1.71,37.9,1038.3,26.5,15,DAP,128.16,Pre-harvest
Millet,Gujarat,Clay,7.5,89.6,36.3,80.4,0.99,26.0,716.9,30.4,16,Urea,146.32,After sowing
Groundnut,Maharashtra,Clay,6.5,115.9,27.1,106.1,0.84,17.2,882.8,30.0,4,DAP,125.28,Pre-harvest
Millet,Gujarat,Clay,7.0,117.1,31.4,140.4,1.28,29.4,420.5,25.1,9,Mixed,109.32,Before sowing
Rice,Karnataka,Sandy,6.5,111.9,37.4,117.4,1.41,37.9,1050.4,30.8,4,Mixed,113.48,Pre-harvest
Rice,Tamil Nadu,Loamy,7.9,81.5,25.9,80.5,1.47,41.9,594.8,33.9,4,Urea,152.8,Pre-harvest
Tomato,Andhra Pradesh,Peaty,5.7,154.8,30.5,87.1,1.23,22.7,627.9,24.6,10,Potash,79.16,Before sowing
Wheat,Andhra Pradesh,Silty,7.5,123.1,29.3,122.7,1.57,23.2,730.8,21.8,9,DAP,119.52,Mid growth
Millet,Kerala,Sandy,6.0,134.5,25.4,116.8,1.56,18.2,853.8,23.8,12,DAP,110.4,After sowing
Cotton,Kerala,Sandy,7.9,118.7,44.2,118.5,0.57,34.0,1161.1,29.0,16,Mixed,108.04,Pre-harvest
Groundnut,Madhya Pradesh,Sandy,7.5,150.7,26.8,94.8,1.42,27.3,1071.9,33.5,6,DAP,97.44,Before sowing
Tomato,Karnataka,Clay,6.4,98.9,43.4,99.2,1.73,27.7,934.0,21.4,11,Urea,138.88,Mid growth
Millet,Karnataka,Peaty,7.1,116.1,37.6,91.8,1.61,40.9,573.4,21.4,10,Potash,110.12,After sowing
Cotton,Madhya Pradesh,Clay,5.6,131.4,38.2,118.3,0.85,26.7,875.6,27.5,15,Mixed,97.88,After sowing
Tomato,Madhya Pradesh,Loamy,8.0,90.9,40.9,108.3,1.14,36.5,953.9,34.9,8,Urea,145.28,After sowing
Wheat,Madhya Pradesh,Clay,5.8,88.3,41.7,120.5,0.91,17.4,468.5,33.4,12,Urea,147.36,Before sowing
Cotton,Madhya Pradesh,Clay,6.0,105.9,26.8,104.8,0.6,30.6,454.1,32.0,6,DAP,133.28,After sowing
Maize,Kerala,Sandy,6.1,123.2,46.4,125.6,1.3,24.7,666.4,30.0,15,Mixed,104.44,Mid growth
Maize,Madhya Pradesh,Clay,8.0,132.9,36.7,131.1,1.2,16.8,849.8,34.4,14,Mixed,96.68,Mid growth
Potato,Andhra Pradesh,Silty,5.9,135.2,26.0,117.5,0.65,28.5,1004.9,25.2,4,DAP,109.84,Before sowing
Cotton,Gujarat,Sandy,7.2,143.6,47.8,96.4,1.1,19.6,1194.0,33.9,4,Potash,88.12,Pre-harvest
Groundnut,Madhya Pradesh,Sandy,6.8,147.4,35.6,123.7,0.63,37.7,502.2,32.4,14,Mixed,85.08,Pre-harvest
Maize,Kerala,Loamy,7.5,136.7,21.1,101.2,0.89,25.8,470.1,34.1,16,DAP,108.64,Pre-harvest
Maize,Andhra Pradesh,Clay,6.9,104.4,31.9,111.3,1.4,30.5,1135.5,27.5,5,Mixed,119.48,After sowing
Cotton,Tamil Nadu,Clay,8.0,148.1,26.3,145.1,0.67,39.5,704.5,33.2,16,DAP,99.52,After sowing
